,Frequency,FrequencyCode,Indicator,IndicatorCategory,IndicatorCategoryCode,IndicatorCode,PartnerEconomy,PartnerEconomyCode,Period,PeriodCode,ProductOrSector,ProductOrSectorClassification,ProductOrSectorClassificationCode,ProductOrSectorCode,ReportingEconomy,ReportingEconomyCode,Unit,UnitCode,Value,Year
18,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Algeria,012,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,163873.0,2016
19,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Andorra,020,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2638.0,2016
20,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Angola,024,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,465592.0,2016
21,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Azerbaijan,031,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,14.0,2016
22,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Argentina,032,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,295924.0,2016
23,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Australia,036,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,536867.0,2016
24,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Austria,040,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,8800440.0,2016
25,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,"Bahrain, Kingdom of",048,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,140521.0,2016
26,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Bangladesh,050,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,295.0,2016
27,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Belgium,056,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,19630449.0,2016
28,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Bosnia and Herzegovina,070,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,76208.0,2016
29,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Brazil,076,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,14100373.0,2016
30,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Belize,084,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,8343.0,2016
31,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Bulgaria,100,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,575207.0,2016
32,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Belarus,112,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,212.0,2016
33,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Cameroon,120,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,28.0,2016
34,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Canada,124,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,21360952.0,2016
35,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Sri Lanka,144,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,1721.0,2016
36,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Chile,152,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,557.0,2016
37,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,China,156,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,333919081.0,2016
38,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Chinese Taipei,158,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,12701352.0,2016
39,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Colombia,170,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,1540.0,2016
40,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Costa Rica,188,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,1012.0,2016
41,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Croatia,191,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,232747.0,2016
42,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Cyprus,196,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,46314.0,2016
43,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Czech Republic,203,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,22042090.0,2016
44,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Denmark,208,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,3028115.0,2016
45,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Dominican Republic,214,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2452.0,2016
46,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Ecuador,218,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,526968.0,2016
47,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Equatorial Guinea,226,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,205.0,2016
48,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Ethiopia,231,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,12531.0,2016
49,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Estonia,233,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,7429.0,2016
50,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Finland,246,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2144839.0,2016
51,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,France,250,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,352281467.0,2016
52,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Gabon,266,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,126081.0,2016
53,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Georgia,268,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,249.0,2016
54,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Germany,276,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,149625873.0,2016
55,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Greece,300,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2370189.0,2016
56,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,"Hong Kong, China",344,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2239686.0,2016
57,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Hungary,348,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,24387880.0,2016
58,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Iceland,352,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,34121.0,2016
59,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,India,356,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,16710740.0,2016
60,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Indonesia,360,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2508492.0,2016
