,code,displayOrder,name,iso3A
183,591,2520,Panama,PAN
184,598,2540,Papua New Guinea,PNG
185,600,2550,Paraguay,PRY
186,604,2560,Peru,PER
187,608,2570,Philippines,PHL
188,612,2580,Pitcairn,PCN
189,616,2590,Poland,POL
190,620,2600,Portugal,PRT
191,634,2620,Qatar,QAT
192,642,2650,Romania,ROM
193,643,2660,Russian Federation,RUS
194,646,2670,Rwanda,RWA
195,654,2680,"British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha",SHN
196,659,2690,Saint Kitts and Nevis,KNA
197,662,2700,Saint Lucia,LCA
198,534,2710,Saint Martin,SXM
199,670,2730,Saint Vincent and the Grenadines,VCT
200,882,2740,Samoa,WSM
201,674,2750,San Marino,SMR
202,678,2760,Sao Tomé and Principe,STP
203,682,2770,"Saudi Arabia, Kingdom of",SAU
204,686,2780,Senegal,SEN
205,892,2790,Serbia,SRB
206,891,2800,Serbia and Montenegro,SCG
207,690,2810,Seychelles,SYC
208,694,2820,Sierra Leone,SLE
209,702,2830,Singapore,SGP
210,703,2840,Slovak Republic,SVK
211,705,2850,Slovenia,SVN
212,090,2860,Solomon Islands,SLB
213,706,2870,Somalia,SOM
214,710,2890,South Africa,ZAF
215,239,2940,South Georgia and the South Sandwich Islands,SGS
216,728,2950,South Sudan,SSD
217,724,3010,Spain,ESP
218,144,3020,Sri Lanka,LKA
219,736,3040,Sudan,SDN
220,740,3050,Suriname,SUR
221,752,3080,Sweden,SWE
222,756,3090,Switzerland,CHE
223,760,3100,Syrian Arab Republic,SYR
224,158,3110,Chinese Taipei,CHT
225,762,3120,Tajikistan,TJK
226,834,3130,Tanzania,TZA
227,764,3140,Thailand,THA
228,626,3170,Timor-Leste,TLS
229,768,3180,Togo,TGO
230,772,3190,Tokelau,TKL
231,776,3200,Tonga,TON
232,780,3220,Trinidad and Tobago,TTO
233,788,3240,Tunisia,TUN
234,792,3250,Turkey,TUR
235,795,3260,Turkmenistan,TKM
236,796,3270,Turks and Caicos Islands,TCA
237,798,3280,Tuvalu,TUV
238,800,3310,Uganda,UGA
239,804,3320,Ukraine,UKR
240,784,3340,United Arab Emirates,ARE
241,826,3360,United Kingdom,GBR
242,581,3370,United States Minor Outlying Islands,UMI
243,840,3380,United States of America,USA
244,888,3390,UNMIK/Kosovo,
245,858,3420,Uruguay,URY
246,860,3430,Uzbekistan,UZB
247,548,3440,Vanuatu,VUT
248,862,3460,"Venezuela, Bolivarian Republic of",VEN
249,704,3470,Viet Nam,VNM
250,092,3490,"Virgin Islands, British",VGB
251,876,3510,Wallis and Futuna Islands,WLF
252,887,3620,Yemen,YEM
253,890,3650,"Yugoslavia, Socialist Federal Republic of",YUG
254,894,3670,Zambia,ZMB
255,716,3690,Zimbabwe,ZWE
