,code,displayOrder,name,iso3A
181,530,2210,Netherlands Antilles,ANT
182,532,2211,Netherlands Antilles (incl. Aruba),
183,540,2230,New Caledonia,NCL
184,554,2240,New Zealand,NZL
185,558,2260,Nicaragua,NIC
186,562,2270,Niger,NER
187,566,2280,Nigeria,NGA
188,570,2290,Niue,NIU
189,OSE,2295,Non-EU south-eastern Europe,
190,OWE,2296,Non-EU western Europe,
191,931,2320,North America,
192,940,2330,North American Free Trade Agreement (NAFTA),
193,807,2335,North Macedonia,MKD
194,580,2340,Northern Mariana Islands,MNP
195,578,2360,Norway,NOR
196,947,2385,OIC (Organisation of Islamic Cooperation),
197,512,2390,Oman,OMN
198,945,2391,OPEC (Organization of the Petroleum Exporting Countries),
199,OAF,2399,Other Africa,
200,OAS,2419,Other Asia,
201,OCI,2429,Other CIS,
202,942,2489,Pacific Alliance,
203,586,2490,Pakistan,PAK
204,585,2500,Palau,PLW
205,275,2510,Palestine,PSE
206,591,2520,Panama,PAN
207,598,2540,Papua New Guinea,PNG
208,600,2550,Paraguay,PRY
209,604,2560,Peru,PER
210,608,2570,Philippines,PHL
211,616,2590,Poland,POL
212,620,2600,Portugal,PRT
213,634,2620,Qatar,QAT
214,638,2640,Reunion,
215,642,2650,Romania,ROM
216,643,2660,Russian Federation,RUS
217,646,2670,Rwanda,RWA
218,659,2690,Saint Kitts and Nevis,KNA
219,662,2700,Saint Lucia,LCA
220,534,2710,Saint Martin,SXM
221,666,2720,Saint Pierre and Miquelon,SPM
222,670,2730,Saint Vincent and the Grenadines,VCT
223,882,2740,Samoa,WSM
224,678,2760,Sao Tomé and Principe,STP
225,682,2770,"Saudi Arabia, Kingdom of",SAU
226,686,2780,Senegal,SEN
227,892,2790,Serbia,SRB
228,891,2800,Serbia and Montenegro,SCG
229,690,2810,Seychelles,SYC
230,694,2820,Sierra Leone,SLE
231,702,2830,Singapore,SGP
232,949,2835,Six East Asian traders,
233,703,2840,Slovak Republic,SVK
234,705,2850,Slovenia,SVN
235,090,2860,Solomon Islands,SLB
236,706,2870,Somalia,SOM
237,710,2890,South Africa,ZAF
238,932,2910,South and Central America and the Caribbean,
239,977,2920,South Asian Association for Regional Cooperation (SAARC),
240,728,2950,South Sudan,SSD
241,961,2980,Southern African Development Community (SADC),
242,939,2990,Southern Common Market (MERCOSUR),
243,944,2991,"Southern Common Market (MERCOSUR) excluding Venezuela, Bolivarian Republic of",
244,724,3010,Spain,ESP
245,144,3020,Sri Lanka,LKA
246,736,3040,Sudan,SDN
247,740,3050,Suriname,SUR
248,747,3070,Swaziland,
249,752,3080,Sweden,SWE
250,756,3090,Switzerland,CHE
251,760,3100,Syrian Arab Republic,SYR
252,158,3110,Chinese Taipei,CHT
253,762,3120,Tajikistan,TJK
254,834,3130,Tanzania,TZA
255,764,3140,Thailand,THA
256,808,3150,The former Yugoslav Republic of Macedonia,
257,626,3170,Timor-Leste,TLS
258,768,3180,Togo,TGO
259,772,3190,Tokelau,TKL
260,776,3200,Tonga,TON
261,780,3220,Trinidad and Tobago,TTO
262,788,3240,Tunisia,TUN
263,792,3250,Turkey,TUR
264,795,3260,Turkmenistan,TKM
265,796,3270,Turks and Caicos Islands,TCA
266,798,3280,Tuvalu,TUV
267,810,3300,U.S.S.R.,SUN
268,800,3310,Uganda,UGA
269,804,3320,Ukraine,UKR
270,784,3340,United Arab Emirates,ARE
271,826,3360,United Kingdom,GBR
272,840,3380,United States of America,USA
273,888,3390,UNMIK/Kosovo,
274,858,3420,Uruguay,URY
275,860,3430,Uzbekistan,UZB
276,548,3440,Vanuatu,VUT
277,863,3450,Venezuela,
278,862,3460,"Venezuela, Bolivarian Republic of",VEN
279,704,3470,Viet Nam,VNM
280,092,3490,"Virgin Islands, British",VGB
281,876,3510,Wallis and Futuna Islands,WLF
282,957,3530,West African Economic and Monetary Union (WAEMU),
283,959,3540,West African Economic Community (ECOWAS),
284,900,3600,WTO Members,
285,902,3610,WTO Observer governments,
286,887,3620,Yemen,YEM
287,886,3630,"Yemen, Arab Republic of",
288,720,3640,"Yemen, People's Democratic Republic",
289,890,3650,"Yugoslavia, Socialist Federal Republic of",YUG
290,894,3670,Zambia,ZMB
291,716,3690,Zimbabwe,ZWE
