,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
16,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-05,2012-05-01,0.143966,0.143966,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
17,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-06,2012-06-01,0.133803,0.133803,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
18,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-07,2012-07-01,0.12955,0.12955,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
19,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-08,2012-08-01,0.134034,0.134034,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
20,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-09,2012-09-01,0.129621,0.129621,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
21,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-10,2012-10-01,0.142998,0.142998,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
22,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-11,2012-11-01,0.137724,0.137724,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
23,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-12,2012-12-01,0.12594,0.12594,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
24,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-01,2013-01-01,18.346963,18.346963,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
25,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-02,2013-02-01,17.014749,17.014749,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
26,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-03,2013-03-01,20.223034,20.223034,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
