,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
104,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-02,2021-02-01,0.00454,0.00454,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
105,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-03,2021-03-01,0.012509,0.012509,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
106,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-04,2021-04-01,22.834172,22.834172,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
107,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-05,2021-05-01,37.889838,37.889838,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
108,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-06,2021-06-01,0.002523,0.002523,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
109,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-07,2021-07-01,12.431548,12.431548,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
110,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-08,2021-08-01,0.042412,0.042412,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
111,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-09,2021-09-01,0.024994,0.024994,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
112,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-10,2021-10-01,13.255472,13.255472,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
113,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR29,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",2021-11,2021-11-01,50.197281,50.197281,M,SS,TXG_FOB_USD,XR29,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
0,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-01,2012-01-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
1,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-02,2012-02-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
2,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-03,2012-03-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
3,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-04,2012-04-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
4,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-05,2012-05-01,0.213624,0.213624,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
5,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-06,2012-06-01,0.217498,0.217498,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
6,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-07,2012-07-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
7,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-08,2012-08-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
8,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-09,2012-09-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
9,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-10,2012-10-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
10,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-11,2012-11-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
11,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2012-12,2012-12-01,0.213476,0.213476,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
12,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-01,2013-01-01,0.448894,0.448894,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
13,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-02,2013-02-01,0.448894,0.448894,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
14,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-03,2013-03-01,0.448894,0.448894,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
15,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-04,2013-04-01,0.448894,0.448894,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
16,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-05,2013-05-01,0.448894,0.448894,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
17,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-06,2013-06-01,0.450369,0.450369,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
18,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-07,2013-07-01,159.615773,159.615773,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
19,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-08,2013-08-01,464.460236,464.460236,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
20,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-09,2013-09-01,398.899295,398.899295,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
21,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-10,2013-10-01,366.137482,366.137482,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
22,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-11,2013-11-01,471.933458,471.933458,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
23,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2013-12,2013-12-01,456.209883,456.209883,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
24,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2014-01,2014-01-01,326.19427,326.19427,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
25,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2014-02,2014-02-01,496.273912,496.273912,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
26,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2014-03,2014-03-01,300.296857,300.296857,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
27,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2014-04,2014-04-01,372.157077,372.157077,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
28,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2014-05,2014-05-01,336.320241,336.320241,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
29,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.XR43,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Emerging and Developing Countries, Millions",2014-06,2014-06-01,280.912394,280.912394,M,SS,TXG_FOB_USD,XR43,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Emerging and Developing Countries
