,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
63,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-01,1983-01-01,0.213536954980504,0.213536954980504,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
64,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-02,1983-02-01,0.388631609018706,0.388631609018706,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
65,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-03,1983-03-01,1.91730011792915,1.91730011792915,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
66,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-04,1983-04-01,0.497306428634702,0.497306428634702,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
67,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-05,1983-05-01,0.921740851179181,0.921740851179181,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
68,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-06,1983-06-01,0.434913578357127,0.434913578357127,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
69,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-07,1983-07-01,0.562672803003448,0.562672803003448,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
70,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-08,1983-08-01,0.471441630475787,0.471441630475787,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
71,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-09,1983-09-01,0.390195538332636,0.390195538332636,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
72,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.XR29,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Advanced Economies (IMF), Millions",1983-10,1983-10-01,0.381945538332636,0.381945538332636,M,1C_473,TXG_FOB_USD,XR29,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Advanced Economies (IMF)
